"fips_county","county_name","cases_asd","pop","prevalence_asd","prevalence_asd_ci","map_category"
"47153","Sequatchie","50","3219","1.55327741534638","1.6 (1.2-2.0)","2%"
"47155","Sevier","163","20776","0.784559106661533","0.8 (0.7-0.9)","1%"
"47157","Shelby","2200","241437","0.911210792049272","0.9 (0.9-0.9)","1%"
"47159","Smith","76","4631","1.64111423018786","1.6 (1.3-2.0)","2%"
"47161","Stewart","81","2953","2.74297324754487","2.7 (2.2-3.4)","3%"
"47163","Sullivan","364","32291","1.12724907869066","1.1 (1.0-1.2)","1%"
"47165","Sumner","1119","45450","2.46204620462046","2.5 (2.3-2.6)","2%"
"47167","Tipton","126","15869","0.794000882223202","0.8 (0.7-0.9)","1%"
"47169","Trousdale","39","2432","1.60361842105263","1.6 (1.2-2.2)","2%"
"47171","Unicoi","29","3536","0.820135746606335","0.8 (0.6-1.2)","1%"
"47173","Union","43","4384","0.980839416058394","1.0 (0.7-1.3)","1%"
"47175","Van Buren","17","1125","1.51111111111111","1.5 (0.9-2.4)","2%"
"47177","Warren","209","9848","2.12225832656377","2.1 (1.9-2.4)","2%"
"47179","Washington","199","29420","0.676410605030591","0.7 (0.6-0.8)","1%"
"47181","Wayne","78","3056","2.55235602094241","2.6 (2.0-3.2)","3%"
"47183","Weakley","101","8634","1.16979383831364","1.2 (1.0-1.4)","1%"
"47185","White","111","6080","1.82565789473684","1.8 (1.5-2.2)","2%"
"47187","Williamson","1494","66188","2.25720674442497","2.3 (2.1-2.4)","2%"
"47189","Wilson","716","34297","2.08764614980902","2.1 (1.9-2.2)","2%"
"49001","Beaver","22","2163","1.0171058714748","1.0 (0.7-1.5)","1%"
"49003","Box Elder","245","17588","1.39299522401637","1.4 (1.2-1.6)","1%"
"49005","Cache","592","44319","1.33577021142174","1.3 (1.2-1.4)","1%"
"49007","Carbon","86","5651","1.52185453901964","1.5 (1.2-1.9)","2%"
"49009","Daggett",,"227",,"NA","suppressed"
"49011","Davis","2986","114249","2.61358961566403","2.6 (2.5-2.7)","3%"
"49013","Duchesne","95","6561","1.44795000762079","1.4 (1.2-1.8)","1%"
